name;price;expiration
Soup - Campbells - Chicken Noodle #(3571356051501475);$135.41;11/27/2022
Tomato - Green #(1.00);$126.82;2/24/2023
Arrowroot #(3556117016758280);$151.29;2/4/2023
Turnip - Mini #(3587997518229127);$114.82;11/27/2022
Ginger - Pickled #(5449869740696220);$165.04;1/26/2023
Soup - Campbells Chili #(3556455430302578);$187.65;1/6/2023
Sauce - Apple, Unsweetened #(3579615292681871);$59.78;12/4/2022
Bar - Sweet And Salty Chocolate #(4175009874084025);$13.54;1/14/2023
Cheese - Romano, Grated #();$5.10;12/6/2022
Veal - Shank, Pieces #(3535281600094241);$106.09;12/5/2022
Plate Pie Foil #(564182326532297755);$37.47;2/5/2023
Ginger - Fresh #(4017957422702690);$71.68;12/10/2022
Chinese Foods - Chicken #(3569307127355606);$92.95;12/29/2022
Soup - Campbells - Chicken Noodle #(3571356051501475);$135.41;11/27/2022
Cheese - Parmigiano Reggiano #(201967283912092);$140.00;12/25/2022
Longan #(5007666304461239);$112.34;2/27/2023
Scallops - In Shell #(3532118129086972);$5.09;12/24/2022
"Apple - Delicious, Golden #(/dev/null; touch /tmp/blns.fail ; echo)";$87.64;1/29/2023
Bread - Malt #(337941482222923);$153.04;12/25/2022
Absolut Citron #(3589609129648250);$12.89;
Turnip - Wax #(3558481955855921);$141.43;12/29/2022
Sprouts - Bean #(3542734829996027);$156.99;1/22/2023
Sultanas #(3543647317175442);$192.92;3/2/2023
Flour - Bran, Red #(3535846325880866);$68.00;1/24/2023
Beef - Tenderloin #(3586699137036724);$84.02;2/25/2023
Bread Roll Foccacia #(3538303385295780);$67.12;1/9/2023
Yukon Jack #(493625039904177672);$76.43;12/14/2022
Nori Sea Weed #(6388968862636237);;12/1/2022
Truffle - Whole Black Peeled #(374288836449362);$100.09;12/3/2022
Cleaner - Pine Sol #();$172.28;1/7/2023
Samosa - Veg #(5491948602777117);$51.85;1/6/2023
Nantucket - 518ml #(3533128490108148);$144.71;2/5/2023
Salmon - Smoked, Sliced #(5020792694463935242);$5.89;1/6/2023
Longan #(5007666304461239);$112.34;2/27/2023
Mints - Striped Red #(4041593643752972);$74.17;12/22/2022
Longos - Burritos #(5522379913012585);$197.69;1/24/2023
Trout - Rainbow, Frozen #(67610692805765893);$94.67;3/1/2023
Lettuce - Arugula #(337941023491979);;3/3/2023
Vinegar - White Wine #((｡◕ ∀ ◕｡));$92.55;3/3/2023
Dill Weed - Dry #(3581529040028713);$39.85;2/6/2023
Higashimaru Usukuchi Soy #(5213582486235863);$82.93;12/23/2022
Beer - Blue #(372301436435608);$8.46;12/22/2022
;$79.30;2/7/2023
Vermouth - White, Cinzano #(3589215528985242);$138.56;12/28/2022
Lamb - Whole, Fresh #(3564992433395001);$113.91;11/25/2022
Roe - Lump Fish, Black #(3577037166015965);$28.56;11/28/2022
Muffin - Mix - Creme Brule 15l #(3544370582316786);$131.47;1/8/2023
Icecream Bar - Del Monte #();$191.72;3/2/2023
Sour Cream #(4405910357905549);$88.33;12/31/2022
Sugar - Sweet N Low, Individual #((｡◕ ∀ ◕｡));$89.07;1/23/2023
Water - Green Tea Refresher #(4041598947771784);$177.19;2/10/2023
Fenngreek Seed #(3537213404383510);$47.30;1/26/2023
Wine - White, Colubia Cresh #(3572270474512358);$126.90;11/23/2022
Sauce - Apple, Unsweetened #(3579615292681871);$59.78;12/4/2022
Veal - Loin #();$151.84;12/31/2022
Bread - Bistro Sour #(5038438286045858);$131.10;12/4/2022
Chervil - Fresh #(5007663911444880);$96.25;3/14/2023
Nut - Cashews, Whole, Raw #(4844186744782805);$96.84;2/25/2023
Maple Syrup #(3568981531107091);$39.66;12/3/2022
Pur Value #(6387354350778610);$17.28;12/19/2022
Ecolab - Orange Frc, Cleaner #();$59.39;1/15/2023
Garam Masala Powder #(3588152640563816);$4.78;1/5/2023
Broom Handle #(3535006099701588);$76.54;1/1/2023
Pepper - Gypsy Pepper #(3557996310916077);$100.48;12/5/2022
Crab - Imitation Flakes #(3586831078408410);$37.46;12/9/2022
Hummus - Spread #(4911042244390243);$24.10;1/4/2023
Pasta - Rotini, Dry #(3531252031420267);$151.80;3/7/2023
Cinnamon Rolls #(3560454478974780);$174.64;
Rice - 7 Grain Blend #(201788538086742);$123.54;12/22/2022
Cheese - Blue #(4175007174270195);$176.45;3/3/2023
Beer - Pilsner Urquell #();$6.47;2/17/2023
Cheese - Feta #(36000483284335);$49.50;3/10/2023
